orderid,orderdate,unitcost,price,orderqty,costofsales,productname,brandname,state,revenue,Profit
3370,3/30/2014,8.860613872,12.99,20,177.2122774,"Contoso 512MB MP3 Player E51 Blue",Contoso,Ondo,259.80,82.59
3036,3/24/2013,2.794338459,21.57,10,27.94338459,"Contoso 2G MP3 Player E200 Red",Contoso,Benue,215.70,187.76
2228,12/18/2011,8.399853846,21.57,4,33.59941538,"Contoso 2G MP3 Player E200 Black",Contoso,Lagos,86.28,52.68
1988,6/19/2014,16.67301675,21.57,24,400.1524019,"Contoso 2G MP3 Player E200 Blue",Contoso,Katsina,517.68,117.53
2629,3/15/2013,11.0597826,21.57,24,265.4347825,"Contoso 2G MP3 Player E200 Blue",Contoso,Ekiti,517.68,252.25
3421,04-10-12,12.73667175,59.99,5,63.68335875,"Contoso 4G MP3 Player E400 Black",Contoso,Delta,299.95,236.27
2584,07-07-12,13.59268115,59.99,6,81.55608687,"Contoso 4G MP3 Player E400 Green",Contoso,Benue,359.94,278.38
2358,3/30/2012,59.51462961,59.99,5,297.5731481,"Contoso 4G MP3 Player E400 Orange",Contoso,Ekiti,299.95,2.38
2195,12/13/2013,59.66167661,77.68,18,1073.910179,"Contoso 4GB Flash MP3 Player E401 Blue",Contoso,Abia,1398.24,324.33
2170,3/22/2014,173.4906838,199.9,10,1734.906838,"Contoso 16GB Mp5 Player M1600 Blue",Contoso,Gombe,1999.00,264.09
2169,5/24/2013,18.90985704,255,10,189.0985704,"Contoso 32GB Video MP3 Player M3200 Red",Contoso,Borno,2550.00,2360.90
3364,5/31/2013,25.92101966,255,12,311.0522359,"Contoso 32GB Video MP3 Player M3200 Orange",Contoso,Enugu,3060.00,2748.95
2591,03-02-14,71.00988057,95.95,9,639.0889252,"Contoso 4GB Portable MP3 Player M450 Black",Contoso,Imo,863.55,224.46
2541,08-10-12,195.9404482,299.23,12,2351.285379,"Contoso 8GB Clock & Radio MP3 Player X850 Black",Contoso,Kebbi,3590.76,1239.47
3370,3/30/2014,8.860613872,12.99,20,177.2122774,"Contoso 8GB Clock & Radio MP3 Player X850 Blue",Contoso,Ondo,259.80,82.59
1957,07-12-14,32.09639589,199.95,12,385.1567507,"WWI 2GB Pulse Smart pen M100 Blue","Wide World Importers",FCT,2399.40,2014.24
2289,08-04-12,19.31979453,199.95,10,193.1979453,"WWI 2GB Pulse Smart pen M100 Silver","Wide World Importers",Jigawa,1999.50,1806.30
2811,8/27/2012,182.9029712,199.95,10,1829.029712,"WWI 2GB Pulse Smart pen M100 Silver","Wide World Importers",Lagos,1999.50,170.47
3423,10-11-12,80.24156266,199.95,26,2086.280629,"WWI 2GB Pulse Smart pen M100 Silver","Wide World Importers",Bauchi,5198.70,3112.42
2842,11/20/2013,84.82654007,156,8,678.6123206,"WWI 1GB Digital Voice Recorder Pen E100 Red","Wide World Importers",Rivers,1248.00,569.39
2405,03-08-14,75.32016774,181,20,1506.403355,"WWI 2GB Spy Video Recorder Pen M300 Black","Wide World Importers",Katsina,3620.00,2113.60
2186,12/17/2011,13.75781621,25.69,4,55.03126484,"NT Bluetooth Stereo Headphones E52 Blue","Northwind Traders",Sokoto,102.76,47.73
2836,06-08-12,6.777598507,25.69,6,40.66559104,"NT Bluetooth Stereo Headphones E52 Blue","Northwind Traders",Yobe,154.14,113.47
1919,06-11-12,11.94504129,25.69,6,71.67024774,"NT Bluetooth Stereo Headphones E52 Yellow","Northwind Traders",Benue,154.14,82.47
3389,2/18/2012,5.53059383,25.69,4,22.12237532,"NT Bluetooth Stereo Headphones E52 Yellow","Northwind Traders",Taraba,102.76,80.64
2777,8/21/2014,9.057795119,25.69,20,181.1559024,"NT Bluetooth Stereo Headphones E52 Pink","Northwind Traders",Nasarawa,513.80,332.64
2676,3/18/2012,33.33412639,47.95,5,166.670632,"NT Wireless Bluetooth Stereo Headphones E102 Silver","Northwind Traders",Anambra,239.75,73.08
3317,03-11-14,12.69829779,47.95,18,228.5693602,"NT Wireless Bluetooth Stereo Headphones E102 Silver","Northwind Traders",Bayelsa,863.10,634.53
1822,3/30/2014,26.38865697,37.95,20,527.7731394,"NT Bluetooth Active Headphones E202 Black","Northwind Traders",Abia,759.00,231.23
1865,4/21/2012,22.30946344,37.95,6,133.8567806,"NT Bluetooth Active Headphones E202 White","Northwind Traders",Benue,227.70,93.84
3107,07-04-14,10.20294764,37.95,48,489.7414865,"NT Bluetooth Active Headphones E202 White","Northwind Traders",Kaduna,1821.60,1331.86
2993,12/16/2012,27.07879681,40.55,13,352.0243585,"NT Wireless Bluetooth Stereo Headphones E302 Yellow","Northwind Traders",Taraba,527.15,175.13
2653,10/17/2014,57.99177341,99.99,13,753.8930544,"NT Wireless Bluetooth Stereo Headphones M402 Black","Northwind Traders",Kano,1299.87,545.98
3140,03-01-12,52.74487157,67.4,4,210.9794863,"WWI Stereo Bluetooth Headphones E1000 Blue","Wide World Importers",Ekiti,269.60,58.62
3247,06-01-13,17.37810208,67.4,10,173.7810208,"WWI Stereo Bluetooth Headphones E1000 Blue","Wide World Importers",Katsina,674.00,500.22
2846,3/15/2013,10.13874705,67.4,10,101.3874705,"WWI Stereo Bluetooth Headphones E1000 Black","Wide World Importers",Ogun,674.00,572.61
2867,05-02-14,13.69210435,120,10,136.9210435,"WWI Wireless Bluetooth Stereo Headphones M170 Pink","Wide World Importers",Oyo,1200.00,1063.08
1943,11-12-13,29.08767282,249.99,8,232.7013826,"WWI Wireless Transmitter and Bluetooth Headphones X250 Blue","Wide World Importers",Nasarawa,1999.92,1767.22
3303,6/29/2014,10.82899862,249.99,10,108.2899862,"WWI Wireless Transmitter and Bluetooth Headphones X250 Red","Wide World Importers",Bauchi,2499.90,2391.61
2254,5/23/2014,106.2255339,119.99,24,2549.412814,"Adventure Works 13 Color TV E25 White""""","Adventure Works",Sokoto,2879.76,330.35
2119,12/26/2011,43.58882363,143.4,4,174.3552945,"Adventure Works 19 Color Digital TV E35 White""""","Adventure Works",Adamawa,573.60,399.24
3028,5/23/2012,35.54907026,349.95,10,355.4907026,"Adventure Works 20 LCD HDTV M120 Black""""","Adventure Works",Kano,3499.50,3144.01
2188,04-03-12,115.2823171,349.95,10,1152.823171,"Adventure Works 20 LCD HDTV M120 Brown""""","Adventure Works",Imo,3499.50,2346.68
2010,3/19/2014,384.6149182,499.99,10,3846.149182,"Adventure Works 32 LCD HDTV M130 Brown""""","Adventure Works",Nasarawa,4999.90,1153.75
3370,3/30/2014,8.860613872,12.99,20,177.2122774,"Adventure Works 15.6 LCD TV M130W Silver""""","Adventure Works",Ondo,259.80,82.59
2306,11/14/2014,131.2304648,2899.99,12,1574.765578,"Adventure Works 52 LCD HDTV X590 White""""","Adventure Works",Kwara,34799.88,33225.11
2091,3/21/2014,292.6664755,1184.97,12,3511.997706,"Adventure Works 40 LCD HDTV M690 Brown""""","Adventure Works",Bauchi,14219.64,10707.64
3410,12-04-13,665.8640225,1184.97,13,8656.232293,"Adventure Works 40 LCD HDTV M690 Brown""""","Adventure Works","Cross River",15404.61,6748.38
2683,12/17/2013,296.0030752,469.97,8,2368.024602,"Adventure Works 26 720p LCD HDTV M140 Black""""","Adventure Works",Bauchi,3759.76,1391.74
2861,12/23/2011,37.00592277,119,9,333.0533049,"SV 16xDVD M320 Black","Southridge Video",Ekiti,1071.00,737.95
3222,8/22/2014,94.10034381,119,9,846.9030943,"SV 16xDVD M320 Black","Southridge Video",Ondo,1071.00,224.10
2244,12-10-11,57.51906384,56.9,24,1380.457532,"SV 8xDVD E130 Black","Southridge Video",Nasarawa,1365.60,-14.86
2526,6/18/2013,11.84455171,56.9,12,142.1346205,"SV 8xDVD E130 Black","Southridge Video",Imo,682.80,540.67
1183,3/23/2012,40.68510464,66,6,244.1106278,"SV 8xDVD E140 Black","Southridge Video",Kwara,396.00,151.89
1195,07-03-14,66.32652558,66,24,1591.836614,"SV 8xDVD E140 Black","Southridge Video",Adamawa,1584.00,-7.84
3391,4/13/2012,13.00891742,66,5,65.04458712,"SV 8xDVD E140 Black","Southridge Video",Plateau,330.00,264.96
1821,07-08-13,64.76143431,119,12,777.1372117,"SV 16xDVD M320 Silver","Southridge Video",Abia,1428.00,650.86
